model	PC	zt	loading	centre	score_sd	variance_fraction
"moving_raw"	"PC3"	20.75	-0.229624155857197	0.360585238430235	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	21.25	-0.218170770151994	0.38161836964837	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	21.75	-0.181680027591067	0.397939309411475	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	22.25	-0.122382990400375	0.407526641097033	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	22.75	-0.0574679687068311	0.415215801302279	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	23.25	0.0752201586194127	0.407684421452151	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	23.75	0.150241035666335	0.393253038321947	0.406997932724461	0.111130885436813
"moving_centered_shape"	"PC1"	0.25	-0.21523824611818	0.0440830560882034	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	0.75	-0.229466610011061	0.00560578108399145	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	1.25	-0.216672358781125	-0.0118215946379246	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	1.75	-0.205555702293583	-0.0398085419075002	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	2.25	-0.187957930827168	-0.0582677730008886	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	2.75	-0.174376268417694	-0.0720451767631128	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	3.25	-0.155759131821666	-0.0851029115190052	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	3.75	-0.152147587042206	-0.0886267372859714	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	4.25	-0.148955023535692	-0.0882162587231131	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	4.75	-0.142289734089418	-0.0799948582351569	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	5.25	-0.12262453382849	-0.0654085918698844	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	5.75	-0.115273765959326	-0.0485543031153153	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	6.25	-0.114905123828782	-0.0271172111564927	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	6.75	-0.11825627723043	-0.00395639839424468	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	7.25	-0.0103203801974726	0.118510233406169	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	7.75	0.125831089397909	0.140069848266023	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	8.25	0.206477167826179	0.269839772924122	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	8.75	0.278882495281131	0.259469662171848	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	9.25	0.288376675692221	0.26925966893682	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	9.75	0.29531543550863	0.218284542812042	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	10.25	0.283912969052581	0.145226622504464	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	10.75	0.255390231688212	0.0774691405306989	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	11.25	0.208032683412832	0.0106870376164378	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	11.75	0.152317193816267	-0.0469195990609714	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	12.25	0.113808594560855	-0.0824408633376368	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	12.75	0.0864438338564087	-0.106534133433718	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	13.25	0.0667897035000506	-0.119226755397674	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	13.75	0.0448915873588859	-0.125592727445622	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	14.25	0.0383382863882822	-0.126072858359567	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	14.75	0.0281742771018664	-0.124063186156693	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	15.25	0.0226265515810181	-0.119182016143054	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	15.75	0.0229716467019302	-0.113548310279615	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	16.25	0.0248178818237244	-0.10670762351505	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	16.75	0.023253311589507	-0.100821039007909	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	17.25	0.0210585174750533	-0.090906012960593	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	17.75	0.0121533607919083	-0.0784813247706832	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	18.25	0.0167304297223426	-0.064247559943204	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	18.75	0.020776451814945	-0.049603935239934	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	19.25	0.0236097758702151	-0.030453937459213	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	19.75	0.0192425214125659	-0.00910185699023978	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	20.25	0.00651213971437	0.0189883743636938	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	20.75	-0.00567465552459139	0.0493720292505185	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	21.25	-0.00554107176431288	0.0704051604686533	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	21.75	-0.0159814192741747	0.086726100231759	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	22.25	-0.020912661908941	0.096313431917317	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	22.75	-0.0294737437354674	0.104002592122562	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	23.25	-0.121107363365216	0.0964712122724338	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC1"	23.75	-0.178245223384893	0.0820398291422305	0.538528668412863	0.363578004058122
"moving_centered_shape"	"PC2"	0.25	-0.163797219416871	0.0440830560882034	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	0.75	-0.19515741151861	0.00560578108399145	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	1.25	-0.17980934384117	-0.0118215946379246	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	1.75	-0.172810637054291	-0.0398085419075002	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	2.25	-0.150247715346232	-0.0582677730008886	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	2.75	-0.127203713555168	-0.0720451767631128	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	3.25	-0.104934182995416	-0.0851029115190052	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	3.75	-0.0959993751998631	-0.0886267372859714	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	4.25	-0.0910989437385344	-0.0882162587231131	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	4.75	-0.0803739280964022	-0.0799948582351569	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	5.25	-0.0624139587878595	-0.0654085918698844	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	5.75	-0.0447225058099706	-0.0485543031153153	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	6.25	-0.0501219658497771	-0.0271172111564927	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	6.75	-0.0466208842796779	-0.00395639839424468	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	7.25	-0.0105609005914698	0.118510233406169	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	7.75	-0.0330157109110076	0.140069848266023	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	8.25	-0.0652161971977922	0.269839772924122	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	8.75	-0.136058190249714	0.259469662171848	0.416029374576384	0.216984113159899
